001,Vegitarian,Vegitarian Super Category,,
002,Non Vegitarian,Non-Vegitarian Super Category,,
003,Others,General Dishes,,
004,Indian,Indian Dishes,,
005,Chinese,Chinese Dishes,,
006,Tandoori,Tandoori and Kababs,,
007,Western,Pizza and Burgers,,
008,Hyderabadi Special,Paya etc,,
009,Naans,"Plain Naan, Butter Naan etc",,
010,Desserts and Ice Creams,Gulabjamoon etc,,
101,Starters - Veg,"Sub Category of ""Vegitarian"" Category. Starters such as Gobi 65 etc",001,
102,Starters - NonVeg,"Sub Category of ""Non Vegitarian"" Category. Starters such as Chicken 65 etc",002,
103,MainCourse - Veg,"Sub Category of ""Vegitarian"" Category. Biryani, FriedRice etc",001,
104,MainCourse - NonVeg,"Sub Category of ""Non Vegitarian"" Category. Non-Veg Biryani, FriedRice etc",002,
105,Soups - Veg,"Sub Category of ""Vegitarian"" Category. Veg Soups",001,
106,Soups - NonVeg,"Sub Category of ""NonVegitarian"" Category. Non-Veg Soups",002,
108,Salads,"Sub Category of ""Others"" Category. Onions and Raitha etc",003,
109,Tandoori - Veg,"Sub Category of ""Tandoori"" Category. Veg Tandoori such as Paneer Tikka etc",006,
110,Tandoori - NonVeg,"Sub Category of ""Tandoori"" Category. Non-Veg Tandoori such as Tangdi kabab etc",006,
111,Bufeet Veg,"Sub Category of ""Vegitarian"" Category. Veg Bufeet",001,
112,Bufeet NonVeg,"Sub Category of ""Non Vegitarian"" Category. Non-Veg Bufeet",002,
113,Veg Rice,"Sub Category of ""Vegitarian"" Category. Plain Rice etc","001,103",
114,Non Veg Rice,"Sub Category of ""Non Vegitarian"" Category. Chicken curry and rice etc","002,104",
115,Fresh Juices,"Sub Category of ""Desserts and Ice Creams"" Category. Fruit Juices such as Mango Juice etc",010,
116,Milk Shakes,"Sub Category of ""Desserts and Ice Creams"" Category. Fruit-Milk Shakes such as BananaMilkShake etc",010,
117,Ice Creams,"Sub Category of ""Desserts and Ice Creams"" Category. IceCreams such as Kassatta, Kulfi etc",010,
118,Soft Drinks,"Sub Category of ""Desserts and Ice Creams"" Category. Cool Drinks such as Thumps-up etc",010,
119,Pastries,"Sub Category of ""Desserts and Ice Creams"" Category. Pastries such as Cool cakes, plum cakes etc",010,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
